Real,Imag
-4.298458764885776384e-01,-9.029022773621615539e-01
-4.261902577765103173e-01,-9.046335524268370731e-01
-4.210398983010658069e-01,-9.070421181172555469e-01
-4.184684195772725990e-01,-9.082313481798007793e-01
-4.179089993000477121e-01,-9.084888927796718194e-01
-4.094123299788147152e-01,-9.123494637809076435e-01
-4.032476825949408150e-01,-9.150908733463681832e-01
-4.010912021553533768e-01,-9.160381256004427319e-01
-3.993729964655693410e-01,-9.167885305205967228e-01
-3.988684673926825019e-01,-9.170081492112237553e-01
-3.929980785282736755e-01,-9.195392924030377779e-01
-3.918651205659539061e-01,-9.200226775921422906e-01
-3.904210087047693123e-01,-9.206364298472762275e-01
-3.888231656303792194e-01,-9.213124040569312667e-01
-3.854539289351088249e-01,-9.227270824401424543e-01
-3.738235449207159555e-01,-9.274998421902305168e-01
-3.716834719923060582e-01,-9.283595190699260868e-01
-3.680589193506320078e-01,-9.298024692839069738e-01
-3.657624302365887203e-01,-9.307082489305790185e-01
-3.619828610232374011e-01,-9.321847501034501438e-01
-3.592894571498765899e-01,-9.332261708615672280e-01
-3.559776112415618532e-01,-9.344944838225395234e-01
-3.537122343090949861e-01,-9.353542939977681492e-01
-3.472602831501948040e-01,-9.377687858669915277e-01
-3.440352287770136464e-01,-9.389567409419586896e-01
-3.419971673246467447e-01,-9.397009830482916382e-01
-3.344300865453806448e-01,-9.424205628132502621e-01
-3.336075930630077457e-01,-9.427120312432200055e-01
-3.319609148012223065e-01,-9.432931416290118998e-01
-3.217890252443990629e-01,-9.468113979205508013e-01
-3.200487406098000975e-01,-9.474010785480874164e-01
-3.181343308398865144e-01,-9.480456463383285515e-01
-3.164479371686277354e-01,-9.486098792768934418e-01
-3.106708336340756049e-01,-9.505175606631904861e-01
-3.045693234048683085e-01,-9.524901717291994752e-01
-2.976797046577800421e-01,-9.546658019615338331e-01
-2.917042669572415536e-01,-9.565085575356593317e-01
-2.900773282617934989e-01,-9.570032098318741465e-01
-2.837864972038263156e-01,-9.588874928816155663e-01
-2.807738777679685827e-01,-9.597739471162697322e-01
-2.800786117739419434e-01,-9.599770680733812345e-01
-2.793163479884348543e-01,-9.601991344228669734e-01
-2.785132155718834102e-01,-9.604323967629397885e-01
-2.715698437098481577e-01,-9.624187342250819510e-01
-2.700583698189918946e-01,-9.628439525129242060e-01
-2.668610104965609131e-01,-9.637350263826415242e-01
-2.634490738175939151e-01,-9.646733050647952057e-01
-2.590215523657309338e-01,-9.658715418781378403e-01
-2.539839089351519918e-01,-9.672084439261317002e-01
-2.501138214594028630e-01,-9.682164408410881551e-01
-2.383084948533731040e-01,-9.711895084280516288e-01
-2.364827903047263813e-01,-9.716356775508521171e-01
-2.345109654781609987e-01,-9.721134743796702171e-01
-2.318217939642575054e-01,-9.727582720507699232e-01
-2.307594605162007206e-01,-9.730108279881939382e-01
-2.284088986165541679e-01,-9.735652905854743633e-01
-2.232949759908877951e-01,-9.747509187978581346e-01
-2.173967593619051675e-01,-9.760833207359678187e-01
-2.163057001320378425e-01,-9.763256854607498259e-01
-2.124081520313127747e-01,-9.771810359143520142e-01
-2.097338489740347423e-01,-9.777585144576989018e-01
-2.049480963403630118e-01,-9.787728428018667159e-01
-1.911869956158628869e-01,-9.815536321095112982e-01
-1.870069535742852618e-01,-9.823585899837514734e-01
-1.837101080317172785e-01,-9.829804658318385124e-01
-1.786508951565198011e-01,-9.839125254105631768e-01
-1.778343341490055129e-01,-9.840604400126100604e-01
-1.697782275135207020e-01,-9.854822948497615753e-01
-1.683191500650173256e-01,-9.857325518219419713e-01
-1.671527687044209454e-01,-9.859310076848450954e-01
-1.624248696257956648e-01,-9.867209137983495859e-01
-1.619825281101459624e-01,-9.867936261382428409e-01
-1.609843233093299630e-01,-9.869569634227494115e-01
-1.556795903596653874e-01,-9.878076053288082914e-01
-1.483894303652007751e-01,-9.889290050129366794e-01
-1.483089910594833916e-01,-9.889410716371924703e-01
-1.445965797371950579e-01,-9.894906917845683880e-01
-1.428824201561137708e-01,-9.897396698174486529e-01
-1.392595865641846897e-01,-9.902559101313027634e-01
-1.319238006495122850e-01,-9.912598603909127393e-01
-1.303060681905467144e-01,-9.914738163929097681e-01
-1.271797648973352901e-01,-9.918796839338321902e-01
-1.246046241554463058e-01,-9.922064742981100416e-01
-1.174707818402143528e-01,-9.930763391672631224e-01
-1.168825534257537796e-01,-9.931457439392701314e-01
-1.096398589738582924e-01,-9.939713785236399257e-01
-1.081808154724836490e-01,-9.941312343768835547e-01
-1.028743444195254347e-01,-9.946943597207407173e-01
-9.350563602213740610e-02,-9.956187503417726070e-01
-8.843702582186459271e-02,-9.960817699686002058e-01
-8.724754478942527147e-02,-9.961866621914903241e-01
-8.266264374649344437e-02,-9.965775872097611954e-01
-7.988478041178660727e-02,-9.968041040538230257e-01
-7.788005358082848717e-02,-9.969627361412450872e-01
-7.213357207982247499e-02,-9.973949808270602402e-01
-6.666526507193472340e-02,-9.977753967867184492e-01
-6.516761312557185770e-02,-9.978743318672530505e-01
-6.444651924711050639e-02,-9.979211622953597649e-01
-6.118962801210178770e-02,-9.981261590719566756e-01
-5.928486161952275374e-02,-9.982411057368673069e-01
-5.004103286405607587e-02,-9.987471627143194031e-01
